ID,Question,Section,Example,Information,Resources
22,How could someone misuse the system?,Potential impact of misuse,,,
23,Does the AI system function as a biometric identification system (uniquely identifying individuals) or as a biometric categorization system (grouping individuals based on shared characteristics)?,Biometric data,e.g. No it does not function as a biometric system,,
24,Does the AI system meet the definition of a Restricted Use?,Potentional Harm,e.g. No it is not classified as restricted use,,
25,"What harms might this stakeholder experience if the system is not subject to appropriate human oversight 
and control?",Potentional Harm,e.g. Unfair decisions lack of accountability wrongful denial of services or inaccurate risk assessments.,,
26,What are the known limitations of the system?,System Information,data quality data availability lack of generalisation lack of transparency lack of explainability computational resources and scalability ethical implications Social Implications Dependency on Human Oversight Cybersecurity Risks?,,
27,Does the system provide explanations or justifications for its outputs?,System Information,e.g. No clear reasoning for decisions or Provides summary justifications,,
28,What were the results of the testing or validation ?,System Information,"e.g. Accuracy, Precision, Recall, F1-Score, AUC-ROC",,
29,What methodologies were used for testing or validating the system?,System Information,cross-validation holdout method stress testing user testing and feedback simulation,,
30,Does the system require real-time decision-making or does it operate in a batch-processing manner?,System Information,,,
31,Does the system require data to function in real-world operation? If so what types of data are needed?,System Information,,,
32,Was any personal data collected for training validation or testing?,System Information,yes/no,,
33,What are the expected input types for the system?,System Information,,,
34,What are the expected output types of the system?,System Information,,,
35,Does your system provides Back-Up Data ?,System Information,,,
36,Were any steps taken to assess the representativeness of the training data?,System Information,,,
37,Was any bias identified in the training validation or testing datasets?,System Information,,,
38,If bias was detected what steps were taken to mitigate it?,System Information,,,
39,Who will be most directly involved in using or operating the system?,Generating stakeholders,,,
40,Who will be involved in the system design and development?,Generating stakeholders,,,
41,Who are the stakeholders for each intended use?,Generating stakeholders,,,
42,Are the bias detection and mitigation strategies up-to-date?,Fairness Considerations,yes/no,,
43,Are there mechanisms in place to address any identified discriminatory effects?,Fairness Considerations,,,
44,What kind of human intervention can be found in your AI system ensuring a human-in-the-loop humanon-the-loop or human-in-command approach?,Human intervention,,,
45,Is there any scenario where human intervention would not immediately be possible?,Human intervention,,,
46,How would misuse impact stakeholders?,Potential impact of misuse,,,
47,Do the consequences of misuse differ for any marginalized groups?,Potential impact of misuse,,,
48,Assess whether your system deduces sensitive attributes (e.g. race political opinions sexual orientation) or if it categorises non-sensitive attributes (e.g. hair colour eye colour).,biometric data,,,
49,Could the AI system uphold or become a threat to human rights?,Potentional Harm,,,
50,Could the AI system result in a risk of physical or psychological injury?,Potentional Harm,,,
51,"What harms might this stakeholder experience if the AI system does not effectively solve the intended 
problem?",Potentional Harm,,,
52,"What harms might this stakeholder experience if they are unaware that they are interacting with an AI system 
when that system impersonates human interaction or generates or manipulates image audio or video 
content that could falsely appear to be authentic?",Potentional Harm,,,
53,Is your AI system used in accordance with its intended purpose and under conditions of reasonably foreseeable misuse?,Risk Management,,,
